ID,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
129,21,0.624,1,1,0,3,4,9,3,4,4,57.23932006,1
130,21,0.624,1,0,2,2,,8,,,0,46,1
131,97,0.925,1,0,2,3,4,2,,,2,136,1
132,114,0.926,1,1,0,4,4,20,,,5,104,0
133,93,0.865,1,0,2,4,3,10,4,4,5,27,0
134,143,0.698319443,1,1,0,3,4,25,3,4,1,35.90493317,1
135,21,0.624,1,1,0,3,4,,,4,1,17.90559717,1
136,10,0.895,1,1,0,3,4,9,2,4,1,89,0
137,103,0.92,0,0,2,3,4,7,,,1,109.1179934,1
138,103,0.69547882,1,1,0,3,4,8,,4,1,84.39161255,1
139,103,0.92,1,1,0,3,4,5,3,4,1,26,0
140,136,0.897,1,1,0,4,4,6,4,3,1,34,1
141,16,0.91,2,1,0,3,4,2,3,2,1,84,0
142,103,0.92,1,1,0,3,2,17,4,4,1,23,0
143,21,0.624,0,1,0,3,4,8,3,4,1,19.83352697,1
144,160,0.92,1,1,0,2,,5,3,2,1,24,0
145,21,0.624,2,1,0,3,4,11,3,4,5,43,0
146,90,0.690974348,1,1,0,4,4,1,,,1,12.1898825,1
147,67,0.855,1,1,0,2,,10,1,4,1,145,0
148,103,0.882950648,0,1,0,3,4,4,,,1,60.93920911,1
149,43,0.813700448,1,0,0,3,4,16,,,0,54.6239576,1
150,160,0.92,1,1,0,4,4,25,,4,1,9,0
151,21,0.624,1,0,2,3,4,4,,4,0,48,1
152,160,0.92,1,1,2,2,,5,4,2,1,6,0
153,94,0.640423526,1,0,0,3,4,25,,,1,27.6364711,1
154,118,0.722,0,0,0,4,4,12,,,5,98,0
155,128,0.527,0,1,0,3,4,6,3,4,4,250,1
156,55,0.739,0,0,0,3,4,9,,,,2,1
157,21,0.624,1,1,2,3,4,6,3,4,1,224.4122623,1
158,175,0.776,2,1,0,3,4,17,,,5,13,1
159,103,0.92,1,0,2,2,,5,,,1,106,1
160,103,0.92,1,1,0,3,4,10,3,4,2,36,0
161,21,0.624,0,1,0,3,4,1,3,1,2,78.27252098,1
162,159,0.843,1,0,2,3,0,0,,,0,23,1
163,103,0.92,1,0,0,3,4,2,,,1,18,1
164,24,0.698,0,0,2,2,,5,,,0,22,0
165,64,0.666,1,1,2,3,4,14,8,4,3,258,1
166,103,0.913543492,0,0,0,3,4,7,,,1,19.23701661,1
167,103,0.92,1,1,0,4,4,25,8,4,5,42,0
168,160,0.92,1,1,0,4,4,18,3,4,4,109,0
169,21,0.775215161,1,1,0,3,4,25,,,1,59.0986825,1
170,103,0.92,1,1,0,3,4,14,3,5,3,6,1
171,21,0.624,1,1,0,3,4,5,3,4,1,61.03550128,1
172,159,0.843,0,1,0,3,4,6,3,2,4,134,1
173,114,0.926,1,0,0,3,4,13,,,3,11,0
174,114,0.926,1,1,0,3,4,12,3,4,4,15,0
175,90,0.698,1,1,0,3,4,14,,,1,180,1
176,103,0.851460424,1,1,0,3,4,10,,,1,12.0961229,1
177,11,0.55,1,0,2,2,,2,,,1,10,0
178,21,0.624,1,1,0,4,4,6,2,1,1,83,0
179,103,0.92,1,1,2,3,4,25,,,1,37,0
180,16,0.91,1,1,1,2,,14,,,1,15,1
181,115,0.789,1,0,2,3,4,1,4,3,1,35,0
182,89,0.925,1,1,0,3,4,25,8,4,1,108,0
183,21,0.913643803,1,1,0,3,4,8,2,4,,43.89049184,1
184,104,0.924,1,1,1,3,4,25,7,4,1,77,0
185,67,0.855,1,0,1,2,,4,3,4,2,96,0
186,41,0.827,0,1,0,3,4,13,4,4,1,52,0
187,73,0.754,1,0,0,3,4,6,,,0,134,1
188,114,0.926,1,1,2,4,4,13,2,5,2,80,0
189,103,0.92,0,0,0,4,4,,8,,,103,0
190,103,0.92,2,1,0,3,4,16,3,4,5,27,0
191,103,0.733620517,1,1,0,3,4,25,,4,1,57.37696502,1
192,61,0.913,1,1,0,3,4,25,8,4,5,13,0
193,103,0.743304074,1,1,0,3,4,25,,,1,27.67294234,1
194,71,0.884,1,1,0,4,4,19,2,4,2,167,0
195,16,0.91,2,0,2,3,5,5,2,4,1,127,0
196,21,0.624,0,1,0,3,4,3,6,4,2,86,0
197,11,0.55,0,1,0,3,4,5,3,4,2,57,1
198,97,0.925,0,1,0,4,4,13,6,,1,39,0
199,16,0.91,1,0,2,1,,1,,,0,7,0
200,21,0.755592102,1,1,0,3,3,10,,,0,28.73631594,1
201,67,0.855,1,1,0,4,4,12,6,4,5,50,0
202,102,0.804,1,0,2,2,,3,,,0,32,0
203,21,0.681394701,1,1,0,4,4,25,1,4,1,20.84644502,1
204,104,0.924,1,0,1,2,,3,3,2,1,22,0
205,16,0.91,1,1,0,4,4,15,5,4,2,50,0
206,114,0.894841236,1,1,0,3,4,15,,,1,28.36306837,1
207,100,0.887,1,1,0,2,,2,3,5,1,82,0
208,114,0.926,1,1,0,3,4,15,7,4,5,51,0
209,104,0.924,1,1,0,3,4,15,4,4,5,17,0
210,90,0.698,2,0,2,3,4,2,,4,0,42,0
211,11,0.55,1,0,2,3,2,0,,,0,43,0
212,103,0.92,1,0,0,3,4,9,,,0,97.39385819,1
213,103,0.92,1,0,0,,,4,,,0,190,0
214,21,0.633047858,0,1,0,3,4,3,1,4,,17.10041517,1
215,90,0.666282197,0,1,0,3,4,10,,4,1,44.42886851,1
216,21,0.624,1,1,0,3,4,4,1,4,1,38.77921255,1
217,160,0.92,1,1,0,3,4,7,3,4,5,15,0
218,150,0.698,0,1,0,,,25,,,1,83,1
219,19,0.682,1,1,0,2,,7,6,4,1,28,0
220,160,0.92,1,1,2,3,4,4,,,1,61.92590064,1
221,114,0.926,0,1,0,4,4,25,7,4,1,138,0
222,162,0.767,1,0,2,3,4,5,,,1,17,1
223,61,0.913,1,1,0,3,4,25,6,4,3,23,0
224,103,0.92,1,1,0,4,4,10,6,4,1,57,0
225,21,0.624,1,0,2,2,,7,,,1,38,1
226,50,0.896,1,0,2,2,,4,,,0,89,0
227,103,0.92,1,1,0,3,4,19,4,3,1,21,0
228,80,0.847,0,1,0,,,25,5,,0,96,0
229,77,0.83,1,1,2,3,4,14,4,4,1,136,0
230,46,0.762,1,1,0,4,4,11,,,1,6,1
231,104,0.924,1,1,0,3,4,9,8,5,2,45,0
232,21,0.744271168,1,1,0,3,4,2,,4,1,41.74713952,1
233,173,0.878,0,1,0,2,,6,,,1,85,0
234,160,0.92,1,1,0,3,4,25,,,5,29,0
235,115,0.789,1,1,0,2,,15,1,4,1,6,0
236,21,0.806969724,1,0,2,3,4,3,,,1,47.34602658,1
237,160,0.92,1,1,0,4,4,10,4,4,3,75,0
238,136,0.897,0,1,0,4,4,10,,,1,106,0
239,104,0.924,1,1,0,4,4,25,4,4,5,37,0
240,103,0.729542367,1,0,2,3,4,9,,,0,41.06949205,1
241,104,0.839716856,1,1,0,3,4,25,,,1,14.77359235,1
242,46,0.762,1,1,1,3,4,9,4,4,1,3,0
243,74,0.657131473,1,0,1,3,4,3,,,0,21.92274346,1
244,21,0.624,1,1,0,3,4,9,7,4,1,17.65214559,1
245,103,0.84349686,1,1,0,3,4,10,,,1,92.9540209,1
246,71,0.777070541,1,1,0,3,4,25,,,5,62.39852311,1
247,98,0.949,1,0,0,3,4,3,1,2,5,43,0
248,104,0.924,0,1,0,2,,25,8,4,4,23,0
249,143,0.74,0,0,0,3,4,3,,,,46,1
250,21,0.869969111,1,1,0,3,4,25,5,4,1,66.20203657,1
251,21,0.698,1,0,2,3,4,4,,,1,142.4827801,1
252,160,0.92,1,1,0,4,4,25,4,4,1,258,1
253,21,0.624,1,1,0,3,4,6,,2,2,72.90161684,1
254,105,0.794,1,0,0,3,2,5,8,4,5,26,0
255,160,0.92,0,1,0,4,4,25,1,0,1,63,0
256,160,0.92,1,1,1,3,4,5,6,5,2,40,0
257,103,0.92,0,1,0,3,4,4,,,1,150,1
258,21,0.760338263,0,1,2,3,4,10,,4,2,31.57620575,1
259,36,0.893,1,1,0,4,4,11,4,4,5,22,0
260,16,0.91,0,0,2,3,4,2,,,2,108,1
261,126,0.479,0,0,,3,4,3,3,4,,23,1
262,103,0.744182684,1,1,2,3,4,16,2,4,1,125.0919949,1
263,103,0.688769307,1,1,0,3,4,3,3,4,1,62.03102949,1
264,21,0.718639201,1,0,0,3,4,4,,,1,50.32655126,1
265,67,0.855,1,1,0,4,4,25,6,4,2,3,0
266,83,0.795612851,1,1,0,3,4,14,,,5,200.8350918,1
267,98,0.949,1,1,0,2,,15,2,4,2,32,1
268,21,0.624,1,1,0,3,4,0,8,4,1,43.46225656,1
269,102,0.804,1,1,0,4,4,20,6,4,1,3,0
270,59,0.764226731,1,1,0,3,4,5,,,1,4.907062885,1
271,40,0.776,1,1,0,3,5,4,1,4,1,108,0
272,103,0.92,1,1,2,3,4,25,,4,1,128.6784736,1
273,103,0.80702819,1,1,0,3,4,6,8,4,0,25.47833452,1
274,114,0.926,0,0,2,3,4,5,8,4,1,8,1
275,21,0.624,1,1,0,3,4,1,3,4,4,17.00653927,1
276,75,0.939,1,1,0,4,4,10,6,4,2,42,0
277,103,0.92,1,1,0,3,4,15,7,4,3,62,0
278,103,0.92,0,0,0,3,4,7,,4,1,6.208186459,1
279,103,0.92,1,1,0,3,4,15,7,4,5,33,0
280,103,0.92,1,1,0,3,4,19,8,4,5,294,0
281,41,0.827,1,1,0,3,4,14,,,1,109,0
282,117,0.698,1,0,0,3,4,4,,,0,21,0
283,150,0.698,1,0,0,3,4,9,,,4,64,1
284,21,0.624,1,1,0,3,4,8,,4,1,144.8494364,1
285,103,0.92090908,1,0,2,2,,10,,,1,85.09092046,1
286,104,0.924,1,1,0,3,4,16,6,4,2,32,0
287,114,0.926,1,1,0,4,4,14,6,4,1,38,0
288,103,0.92,2,1,2,3,4,19,3,4,1,292,0
289,21,0.82058623,1,1,0,3,4,25,3,4,1,20.08268874,1
290,75,0.939,1,1,0,5,4,25,,,5,69,0
291,21,0.624,1,1,0,3,4,5,3,4,0,100,0
292,21,0.690095572,2,1,0,3,4,0,,,1,19.47557973,1
293,105,0.794,1,1,0,4,5,13,1,1,1,6,0
294,11,0.649129769,1,1,0,3,4,7,,,1,68.71952392,1
295,67,0.855,2,1,1,3,4,10,8,4,1,218,1
296,103,0.92,1,1,0,3,4,14,,,5,51.92946837,1
297,21,0.624,0,0,0,4,4,2,3,4,1,22,0
298,21,0.71207477,1,1,0,3,4,8,3,4,1,23.2170698,1
299,103,0.92,1,1,0,4,4,14,8,4,5,16,0
300,118,0.722,1,0,2,2,,2,5,4,0,28,0
301,65,0.802,1,1,0,3,4,25,,,5,75,1
302,21,0.624,1,0,2,4,5,2,2,,1,174,1
303,103,0.92,1,1,0,3,4,25,,,1,64.4078562,1
304,103,0.92,1,0,2,3,2,6,,,1,46,0
305,90,0.859290719,1,1,0,3,4,6,,,1,52.3250595,1
306,114,0.926,1,1,0,3,0,5,6,4,0,86,0
307,100,0.887,1,1,0,2,,4,1,4,1,45,0
308,16,0.91,1,0,0,3,4,6,,,0,14,1
309,21,0.624,1,1,2,3,4,,4,4,1,52,0
310,102,0.804,1,1,2,4,2,1,3,,0,4,0
311,158,0.766,1,0,2,3,4,3,,,1,157,1
312,103,0.782036454,1,1,0,3,4,25,8,4,2,8,1
313,114,0.926,1,1,0,2,,4,2,4,2,52,0
314,73,0.754,0,0,2,2,,3,,,0,37,0
315,103,0.92,1,1,0,4,4,25,6,5,5,36,0
316,103,0.92,1,0,2,2,,5,,,1,27,0
317,114,0.926,1,1,0,3,3,25,4,4,2,48,0
318,76,0.624,1,0,2,3,4,1,,,1,63.98054673,1
319,21,0.669783835,1,1,0,3,4,25,,,1,24.47387216,1
320,21,0.835259736,1,1,0,3,4,25,,,1,57.95448157,1
321,73,0.662783081,1,0,2,3,4,15,,,0,153.807459,1
322,103,0.92,1,0,0,3,4,25,,,0,9.86547764,1
323,21,0.624,1,1,0,3,4,9,8,4,4,44,0
324,16,0.91,1,0,2,3,4,2,,,0,10,0
325,103,0.92,1,0,0,3,2,25,3,3,1,67,0
326,103,0.768554686,1,1,0,3,4,9,4,4,1,31.7563099,1
327,21,0.670800734,0,0,2,3,4,7,,,1,66.44350109,1
328,103,0.858436335,1,0,0,3,4,25,,,1,16.61442498,1
329,103,0.92,1,1,0,3,4,10,8,4,2,16,0
330,11,0.671031168,0,0,0,3,4,9,1,4,1,32.16059137,1
331,21,0.539181924,1,1,0,3,4,25,,,0,17.87910792,1
332,103,0.92,1,1,0,3,4,20,1,4,3,80,0
333,160,0.557617251,1,1,0,3,4,25,,,0,136.1768772,1
334,21,0.624,0,1,0,3,4,8,8,4,2,107,0
335,103,0.92,1,1,0,3,4,16,3,2,2,40,0
336,136,0.897,1,1,0,3,4,3,,,5,22,0
337,115,0.789,2,1,2,5,4,8,4,4,5,11,0
338,21,0.624,1,1,,3,4,4,,,1,16,0
339,103,0.846905366,1,1,2,3,4,12,,,1,236.8654186,1
340,103,0.913402546,1,0,2,3,4,4,,,1,78.09108756,1
341,21,0.624,0,1,0,4,5,5,4,4,1,21,0
342,160,0.92,1,1,0,3,4,25,8,4,5,16,0
343,160,0.92,1,1,0,3,4,8,4,4,1,78,0
344,21,0.624,1,1,0,3,4,6,8,4,3,68,1
345,21,0.678494916,1,1,0,3,4,25,,,1,75.17117998,1
346,103,0.92,1,0,1,3,4,3,5,5,1,11,0
347,67,0.855,1,1,1,3,4,6,5,4,0,102,0
348,173,0.878,1,1,0,3,4,16,4,4,2,6,0
349,73,0.907170773,1,1,0,3,4,7,,,1,31.14987048,1
350,90,0.575847218,1,1,2,3,4,9,,,1,195.5595553,1
351,83,0.923,1,1,0,4,4,25,1,1,5,64,0
352,57,0.866,1,1,2,4,4,6,,,1,210,0
353,64,0.666,1,1,0,3,4,25,4,,5,90,0
354,90,0.698,1,1,1,2,,6,,,1,58,1
355,65,0.802,2,0,0,4,4,14,,,1,11,1
356,73,0.754,1,1,0,3,4,1,3,1,1,34,0
357,114,0.926,2,1,0,3,5,4,3,4,1,57,0
358,21,0.624,1,1,0,3,4,12,6,4,1,50,0
359,103,0.92,0,1,0,3,4,15,8,4,5,150,0
360,21,0.636894232,1,0,0,3,4,0,,,1,29.78144001,1
361,21,0.635505397,1,1,0,3,4,25,,,1,28.72867511,1
362,21,0.624,1,0,2,4,4,4,,,0,13,0
363,136,0.897,0,1,0,4,4,25,1,1,1,74,0
364,61,0.913,1,0,2,2,,2,,,0,22,0
365,21,0.624,1,1,0,4,4,5,8,,1,194,0
366,114,0.926,1,1,0,4,2,4,3,4,0,10,0
367,103,0.92,1,0,2,3,4,3,,,0,138,1
368,16,0.91,1,1,2,4,2,5,5,4,5,14,0
369,103,0.92,1,1,0,3,4,18,5,4,5,164,0
370,21,0.624,1,1,0,4,4,25,8,4,1,15.85862651,1
371,36,0.893,1,1,0,3,4,7,5,4,1,19,0
372,160,0.92,1,1,2,3,4,5,,,1,96,1
373,138,0.836,1,0,,2,,9,,,0,36,0
374,67,0.855,1,0,2,2,,3,6,4,1,52,0
375,74,0.579,1,1,0,3,4,6,4,4,2,17,0
376,27,0.848,0,0,0,3,4,15,1,4,1,60,0
377,26,0.698,1,1,0,2,,4,4,4,2,45,1
378,136,0.897,1,1,0,4,4,11,5,,1,166,0
379,102,0.804,0,0,0,3,4,0,,,5,142,1
380,16,0.91,1,1,0,3,3,12,4,4,4,10,0
381,67,0.855,2,0,0,4,4,13,6,4,5,51,0
382,160,0.92,2,1,0,3,4,25,2,,1,70,0
383,104,0.924,2,1,0,3,2,11,6,4,4,26,0
384,36,0.893,1,1,1,3,4,6,2,4,4,5,0
385,21,0.633310814,1,1,0,3,4,17,,,1,9.642257905,1
386,67,0.855,2,1,0,4,4,6,3,2,1,45,0
387,21,0.533640808,1,1,0,3,4,4,3,1,1,54.70510094,1
388,36,0.893,1,1,0,3,4,5,2,4,2,55,0
389,57,0.840116051,1,1,0,3,4,9,,,1,4.23460886,1
390,160,0.92,1,1,0,4,4,25,8,5,3,55,0
391,28,0.939,1,1,2,3,4,7,,,2,59,0
392,21,0.624,0,0,2,2,,2,,,0,116,1
393,103,0.92,1,1,0,3,4,5,8,4,0,43,0
394,21,0.624,0,1,0,3,4,0,3,4,1,120.1402702,1
395,103,0.92,1,0,0,3,4,25,,,1,136,0
396,160,0.894506239,0,0,2,3,4,4,,,1,24.8081722,1
397,21,0.624,0,0,,,,5,,,,98,0
398,76,0.696925656,0,1,0,3,4,1,,,0,13,1
399,16,0.91,1,0,0,3,4,25,,,3,52,0
400,103,0.92,1,1,0,3,4,25,3,4,2,20,0
401,21,0.624,1,1,0,3,4,12,8,4,1,10,1
402,114,0.926,1,1,0,4,4,7,4,4,1,11,0
403,21,0.624,0,1,2,3,4,5,,4,0,50,1
404,45,0.835248216,1,0,2,3,4,3,,,1,66.55475074,1
405,99,0.683816674,1,1,0,3,4,25,,,1,39.60625008,1
406,93,0.865,1,1,2,2,,6,3,2,1,50,0
407,73,0.92,1,0,0,3,4,10,,,1,45.84452795,1
408,114,0.926,1,1,0,3,4,8,2,4,5,73,0
409,21,0.624,1,0,2,3,4,5,,,0,22,0
410,103,0.92,1,1,0,3,4,17,4,4,5,106,0
411,103,0.92,1,1,0,4,4,11,,,1,62,1
412,89,0.925,1,1,0,3,1,16,,,1,28,0
413,21,0.727905114,1,0,2,3,,4,,,1,55.64764383,1
414,21,0.827913648,1,1,0,3,4,0,,,0,97.08083477,1
415,103,0.92,1,0,0,,,1,,,0,6,0
416,152,0.698,1,0,2,3,4,5,,4,0,12,1
417,21,0.569806432,0,1,2,3,4,5,,4,0,24.80296348,1
418,21,0.624,1,1,0,3,4,5,3,4,1,55.99028068,1
419,103,0.92,1,1,0,4,2,25,2,4,5,37,0
420,21,0.555319945,1,1,0,3,4,2,2,4,2,43.76489808,1
421,176,0.764,1,1,0,2,,4,2,4,1,114,0
422,104,0.924,1,0,0,1,,3,,,0,314,0
423,21,0.624,1,1,0,3,4,6,8,4,1,14.58095104,1
424,21,0.624,1,0,2,3,4,5,,,1,91,1
425,103,0.92,1,1,0,3,4,15,7,4,3,12,0
426,160,0.900506508,1,1,0,3,4,13,4,4,3,56.05077889,1
427,21,0.624,1,1,0,3,4,8,7,4,1,57,1
428,10,0.895,1,0,0,1,,7,,,0,232,0
429,114,0.926,1,1,0,4,4,25,8,4,2,22,0
430,73,0.899327817,0,0,0,3,4,0,,,,58.74377158,1
431,21,0.627043934,1,0,2,3,4,6,,,0,38.93952449,1
432,21,0.853739831,1,1,0,3,4,25,8,4,1,40.10532957,1
433,116,0.743,0,1,2,3,4,5,3,4,1,107,0
434,100,0.887,1,1,0,3,4,25,6,4,5,18,0
435,103,0.562268864,1,1,2,3,4,1,,,1,127.2693021,1
436,99,0.915,2,0,0,5,2,10,6,3,2,41,0
437,149,0.689,0,1,2,3,4,9,4,4,4,32,0
438,83,0.923,1,0,0,4,4,25,8,4,5,66,0
439,162,0.767,0,1,2,1,,2,,,1,23,1
440,21,0.892320271,1,1,0,3,4,25,,,0,30.56107558,1
441,103,0.92,1,0,0,4,4,9,3,5,5,13,0
442,16,0.91,1,0,0,5,4,10,,,1,163,0
443,33,0.893162461,0,0,2,3,4,7,,,4,45.91876941,1
444,103,0.896521798,1,1,0,3,4,4,6,,1,96.80601557,1
445,21,0.624,1,1,0,4,4,9,8,4,1,183.2152917,1
446,21,0.624,1,1,2,3,4,10,,,0,161.8035835,1
447,103,0.92,1,1,0,3,4,7,8,4,4,16,0
448,21,0.806127146,1,1,0,3,4,13,,,1,55.07881735,1
449,138,0.836,1,1,0,3,4,25,2,4,1,60,0
450,21,0.856309988,1,1,0,3,4,10,,4,0,15.18878587,1
451,27,0.848,1,1,0,3,4,10,1,4,1,39,0
452,104,0.924,1,1,0,3,4,25,8,4,2,64,0
