Name,Name2,Primary Type,Secondary type,Attack,Defense,HP,Sp.Attack,Sp.Defense,Speed,Total
Meowth,,NORMAL,,45,35,40,40,40,90,290
Meowth,Alolan Meowth,DARK,,35,35,40,50,40,90,290
Meowth,Galarian Meowth,STEEL,,65,55,50,40,40,40,290
Persian,,NORMAL,,70,60,65,65,65,115,440
Persian,Alolan Persian,DARK,,60,60,65,75,65,115,440
Psyduck,,WATER,,52,48,50,65,50,55,320
Golduck,,WATER,,82,78,80,95,80,85,500
Mankey,,FIGHTING,,80,35,40,35,45,70,305
Primeape,,FIGHTING,,105,60,65,60,70,95,455
Growlithe,,FIRE,,70,45,55,70,50,60,350
Arcanine,,FIRE,,110,80,90,100,80,95,555
Poliwag,,WATER,,50,40,40,40,40,90,300
Poliwhirl,,WATER,,65,65,65,50,50,90,385
Poliwrath,,WATER,FIGHTING,95,95,90,70,90,70,510
Abra,,PSYCHIC,,20,15,25,105,55,90,310
Kadabra,,PSYCHIC,,35,30,40,120,70,105,400
Alakazam,,PSYCHIC,,50,45,55,135,95,120,500
Alakazam,Mega Alakazam,PSYCHIC,,50,65,55,175,105,150,600
Machop,,FIGHTING,,80,50,70,35,35,35,305
Machoke,,FIGHTING,,100,70,80,50,60,45,405
Machamp,,FIGHTING,,130,80,90,65,85,55,505
Bellsprout,,GRASS,POISON,75,35,50,70,30,40,300
Weepinbell,,GRASS,POISON,90,50,65,85,45,55,390
Victreebel,,GRASS,POISON,105,65,80,100,70,70,490
Tentacool,,WATER,POISON,40,35,40,50,100,70,335
Tentacruel,,WATER,POISON,70,65,80,80,120,100,515
Geodude,,ROCK,GROUND,80,100,40,30,30,20,300
Geodude,Alolan Geodude,ROCK,ELECTRIC,80,100,40,30,30,20,300
Graveler,,ROCK,GROUND,95,115,55,45,45,35,390
Graveler,Alolan Graveler,ROCK,ELECTRIC,95,115,55,45,45,35,390
Golem,,ROCK,GROUND,120,130,80,55,65,45,495
Golem,Alolan Golem,ROCK,ELECTRIC,120,130,80,55,65,45,495
Ponyta,,FIRE,,85,55,50,65,65,90,410
Ponyta,Galarian Ponyta,PSYCHIC,,85,55,50,65,65,90,410
Rapidash,,FIRE,,100,70,65,80,80,105,500
Rapidash,Galarian Rapidash,PSYCHIC,FAIRY,100,70,65,80,80,105,500
Slowpoke,,WATER,PSYCHIC,65,65,90,40,40,15,315
Slowpoke,Galarian Slowpoke,PSYCHIC,,65,65,90,40,40,15,315
Slowbro,,WATER,PSYCHIC,75,110,95,100,80,30,490
Slowbro,Mega Slowbro,WATER,PSYCHIC,75,180,95,130,80,30,590
Slowbro,Galarian Slowbro,POISON,PSYCHIC,100,95,95,100,70,30,490
Magnemite,,ELECTRIC,STEEL,35,70,25,95,55,45,325
Magneton,,ELECTRIC,STEEL,60,95,50,120,70,70,465
Farfetch'd,,NORMAL,FLYING,90,55,52,58,62,60,377
Farfetch'd,Galarian Farfetch'd,FIGHTING,,95,55,52,58,62,55,377
Doduo,,NORMAL,FLYING,85,45,35,35,35,75,310
Dodrio,,NORMAL,FLYING,110,70,60,60,60,110,470
Seel,,WATER,,45,55,65,45,70,45,325
Dewgong,,WATER,ICE,70,80,90,70,95,70,475
Grimer,,POISON,,80,50,80,40,50,25,325
Grimer,Alolan Grimer,POISON,DARK,80,50,80,40,50,25,325
Muk,,POISON,,105,75,105,65,100,50,500
Muk,Alolan Muk,POISON,DARK,105,75,105,65,100,50,500
Shellder,,WATER,,65,100,30,45,25,40,305
Cloyster,,WATER,ICE,95,180,50,85,45,70,525
Gastly,,GHOST,POISON,35,30,30,100,35,80,310
Haunter,,GHOST,POISON,50,45,45,115,55,95,405
Gengar,,GHOST,POISON,65,60,60,130,75,110,500
Gengar,Mega Gengar,GHOST,POISON,65,80,60,170,95,130,600
Onix,,ROCK,GROUND,45,160,35,30,45,70,385
Drowzee,,PSYCHIC,,48,45,60,43,90,42,328
Hypno,,PSYCHIC,,73,70,85,73,115,67,483
Krabby,,WATER,,105,90,30,25,25,50,325
Kingler,,WATER,,130,115,55,50,50,75,475
Voltorb,,ELECTRIC,,30,50,40,55,55,100,330
Electrode,,ELECTRIC,,50,70,60,80,80,150,490
Exeggcute,,GRASS,PSYCHIC,40,80,60,60,45,40,325
Exeggutor,,GRASS,PSYCHIC,95,85,95,125,75,55,530
Exeggutor,Alolan Exeggutor,GRASS,DRAGON,105,85,95,125,75,45,530
Cubone,,GROUND,,50,95,50,40,50,35,320
Marowak,,GROUND,,80,110,60,50,80,45,425
Marowak,Alolan Marowak,FIRE,GHOST,80,110,60,50,80,45,425
Hitmonlee,,FIGHTING,,120,53,50,35,110,87,455
Hitmonchan,,FIGHTING,,105,79,50,35,110,76,455
Lickitung,,NORMAL,,55,75,90,60,75,30,385
Koffing,,POISON,,65,95,40,60,45,35,340
Weezing,,POISON,,90,120,65,85,70,60,490
Weezing,Galarian Weezing,POISON,FAIRY,90,120,65,85,70,60,490
Rhyhorn,,GROUND,ROCK,85,95,80,30,30,25,345
Rhydon,,GROUND,ROCK,130,120,105,45,45,40,485
Chansey,,NORMAL,,5,5,250,35,105,50,450
Tangela,,GRASS,,55,115,65,100,40,60,435
Kangaskhan,,NORMAL,,95,80,105,40,80,90,490
Kangaskhan,Mega Kangaskhan,NORMAL,,125,100,105,60,100,100,590
Horsea,,WATER,,40,70,30,70,25,60,295
Seadra,,WATER,,65,95,55,95,45,85,440
Goldeen,,WATER,,67,60,45,35,50,63,320
Seaking,,WATER,,92,65,80,65,80,68,450
Staryu,,WATER,,45,55,30,70,55,85,340
Starmie,,WATER,PSYCHIC,75,85,60,100,85,115,520
Mr. Mime,,PSYCHIC,FAIRY,45,65,40,100,120,90,460
Mr. Mime,Galarian Mr. Mime,ICE,PSYCHIC,65,65,50,90,90,100,460
Scyther,,BUG,FLYING,110,80,70,55,80,105,500
Jynx,,ICE,PSYCHIC,50,35,65,115,95,95,455
Electabuzz,,ELECTRIC,,83,57,65,95,85,105,490
Magmar,,FIRE,,95,57,65,100,85,93,495
Pinsir,,BUG,,125,100,65,55,70,85,500
Pinsir,Mega Pinsir,BUG,FLYING,155,120,65,65,90,105,600
Tauros,,NORMAL,,100,95,75,40,70,110,490
Magikarp,,WATER,,10,55,20,15,20,80,200
Gyarados,,WATER,FLYING,125,79,95,60,100,81,540
Gyarados,Mega Gyarados,WATER,DARK,155,109,95,70,130,81,640
Lapras,,WATER,ICE,85,80,130,85,95,60,535
Ditto,,NORMAL,,48,48,48,48,48,48,288
Eevee,,NORMAL,,55,50,55,45,65,55,325
Eevee,Partner Eevee,NORMAL,,75,70,65,65,85,75,435
Vaporeon,,WATER,,65,60,130,110,95,65,525
Jolteon,,ELECTRIC,,65,60,65,110,95,130,525
Flareon,,FIRE,,130,60,65,95,110,65,525
Porygon,,NORMAL,,60,70,65,85,75,40,395
Omanyte,,ROCK,WATER,40,100,35,90,55,35,355
Omastar,,ROCK,WATER,60,125,70,115,70,55,495
Kabuto,,ROCK,WATER,80,90,30,55,45,55,355
Kabutops,,ROCK,WATER,115,105,60,65,70,80,495
Aerodactyl,,ROCK,FLYING,105,65,80,60,75,130,515
Aerodactyl,Mega Aerodactyl,ROCK,FLYING,135,85,80,70,95,150,615
Snorlax,,NORMAL,,110,65,160,65,110,30,540
Articuno,,ICE,FLYING,85,100,90,95,125,85,580
Articuno,Galarian Articuno,PSYCHIC,FLYING,85,85,90,125,100,95,580
Zapdos,,ELECTRIC,FLYING,90,85,90,125,90,100,580
Zapdos,Galarian Zapdos,FIGHTING,FLYING,125,90,90,85,90,100,580
Moltres,,FIRE,FLYING,100,90,90,125,85,90,580
Moltres,Galarian Moltres,DARK,FLYING,85,90,90,100,125,90,580
Dratini,,DRAGON,,64,45,41,50,50,50,300
Dragonair,,DRAGON,,84,65,61,70,70,70,420
Dragonite,,DRAGON,FLYING,134,95,91,100,100,80,600
Mewtwo,,PSYCHIC,,110,90,106,154,90,130,680
Mewtwo,Mega Mewtwo X,PSYCHIC,FIGHTING,190,100,106,154,100,130,780
Mewtwo,Mega Mewtwo Y,PSYCHIC,,150,70,106,194,120,140,780
Mew,,PSYCHIC,,100,100,100,100,100,100,600
Chikorita,,GRASS,,49,65,45,49,65,45,318
Bayleef,,GRASS,,62,80,60,63,80,60,405
Meganium,,GRASS,,82,100,80,83,100,80,525
Cyndaquil,,FIRE,,52,43,39,60,50,65,309
Quilava,,FIRE,,64,58,58,80,65,80,405
Typhlosion,,FIRE,,84,78,78,109,85,100,534
Totodile,,WATER,,65,64,50,44,48,43,314
Croconaw,,WATER,,80,80,65,59,63,58,405
Feraligatr,,WATER,,105,100,85,79,83,78,530
Sentret,,NORMAL,,46,34,35,35,45,20,215
Furret,,NORMAL,,76,64,85,45,55,90,415
Hoothoot,,NORMAL,FLYING,30,30,60,36,56,50,262
Noctowl,,NORMAL,FLYING,50,50,100,86,96,70,452
Ledyba,,BUG,FLYING,20,30,40,40,80,55,265
Ledian,,BUG,FLYING,35,50,55,55,110,85,390
Spinarak,,BUG,POISON,60,40,40,40,40,30,250
Ariados,,BUG,POISON,90,70,70,60,70,40,400
Crobat,,POISON,FLYING,90,80,85,70,80,130,535
Chinchou,,WATER,ELECTRIC,38,38,75,56,56,67,330
Lanturn,,WATER,ELECTRIC,58,58,125,76,76,67,460
Pichu,,ELECTRIC,,40,15,20,35,35,60,205
Cleffa,,FAIRY,,25,28,50,45,55,15,218
Igglybuff,,NORMAL,FAIRY,30,15,90,40,20,15,210
Togepi,,FAIRY,,20,65,35,40,65,20,245
Togetic,,FAIRY,FLYING,40,85,55,80,105,40,405
Natu,,PSYCHIC,FLYING,50,45,40,70,45,70,320
Xatu,,PSYCHIC,FLYING,75,70,65,95,70,95,470
Mareep,,ELECTRIC,,40,40,55,65,45,35,280
Flaaffy,,ELECTRIC,,55,55,70,80,60,45,365
Ampharos,,ELECTRIC,,75,85,90,115,90,55,510
Ampharos,Mega Ampharos,ELECTRIC,DRAGON,95,105,90,165,110,45,610
Bellossom,,GRASS,,80,95,75,90,100,50,490
Marill,,WATER,FAIRY,20,50,70,20,50,40,250
Azumarill,,WATER,FAIRY,50,80,100,60,80,50,420
Sudowoodo,,ROCK,,100,115,70,30,65,30,410
Politoed,,WATER,,75,75,90,90,100,70,500
Hoppip,,GRASS,FLYING,35,40,35,35,55,50,250
Skiploom,,GRASS,FLYING,45,50,55,45,65,80,340
Jumpluff,,GRASS,FLYING,55,70,75,55,95,110,460
Aipom,,NORMAL,,70,55,55,40,55,85,360
Sunkern,,GRASS,,30,30,30,30,30,30,180
Sunflora,,GRASS,,75,55,75,105,85,30,425
Yanma,,BUG,FLYING,65,45,65,75,45,95,390
Wooper,,WATER,GROUND,45,45,55,25,25,15,210
Quagsire,,WATER,GROUND,85,85,95,65,65,35,430
Espeon,,PSYCHIC,,65,60,65,130,95,110,525
Umbreon,,DARK,,65,110,95,60,130,65,525
Murkrow,,DARK,FLYING,85,42,60,85,42,91,405
Slowking,,WATER,PSYCHIC,75,80,95,100,110,30,490
Slowking,Galarian Slowking,POISON,PSYCHIC,65,80,95,110,110,30,490
Misdreavus,,GHOST,,60,60,60,85,85,85,435
Unown,,PSYCHIC,,72,48,48,72,48,48,336
Wobbuffet,,PSYCHIC,,33,58,190,33,58,33,405
Girafarig,,NORMAL,PSYCHIC,80,65,70,90,65,85,455
Pineco,,BUG,,65,90,50,35,35,15,290
Forretress,,BUG,STEEL,90,140,75,60,60,40,465
Dunsparce,,NORMAL,,70,70,100,65,65,45,415
Gligar,,GROUND,FLYING,75,105,65,35,65,85,430
Steelix,,STEEL,GROUND,85,200,75,55,65,30,510
Steelix,Mega Steelix,STEEL,GROUND,125,230,75,55,95,30,610
Snubbull,,FAIRY,,80,50,60,40,40,30,300
Granbull,,FAIRY,,120,75,90,60,60,45,450
Qwilfish,,WATER,POISON,95,85,65,55,55,85,440
Scizor,,BUG,STEEL,130,100,70,55,80,65,500
Scizor,Mega Scizor,BUG,STEEL,150,140,70,65,100,75,600
Shuckle,,BUG,ROCK,10,230,20,10,230,5,505
Heracross,,BUG,FIGHTING,125,75,80,40,95,85,500
Heracross,Mega Heracross,BUG,FIGHTING,185,115,80,40,105,75,600
Sneasel,,DARK,ICE,95,55,55,35,75,115,430
Teddiursa,,NORMAL,,80,50,60,50,50,40,330
Ursaring,,NORMAL,,130,75,90,75,75,55,500
Slugma,,FIRE,,40,40,40,70,40,20,250
Magcargo,,FIRE,ROCK,50,120,60,90,80,30,430
Swinub,,ICE,GROUND,50,40,50,30,30,50,250
Piloswine,,ICE,GROUND,100,80,100,60,60,50,450
Corsola,,WATER,ROCK,55,95,65,65,95,35,410
Corsola,Galarian Corsola,GHOST,,55,100,60,65,100,30,410
Remoraid,,WATER,,65,35,35,65,35,65,300
Octillery,,WATER,,105,75,75,105,75,45,480
Delibird,,ICE,FLYING,55,45,45,65,45,75,330
Mantine,,WATER,FLYING,40,70,85,80,140,70,485
Skarmory,,STEEL,FLYING,80,140,65,40,70,70,465
Houndour,,DARK,FIRE,60,30,45,80,50,65,330
Houndoom,,DARK,FIRE,90,50,75,110,80,95,500
Houndoom,Mega Houndoom,DARK,FIRE,90,90,75,140,90,115,600
Kingdra,,WATER,DRAGON,95,95,75,95,95,85,540
Phanpy,,GROUND,,60,60,90,40,40,40,330
Donphan,,GROUND,,120,120,90,60,60,50,500
Porygon2,,NORMAL,,80,90,85,105,95,60,515
Stantler,,NORMAL,,95,62,73,85,65,85,465
Smeargle,,NORMAL,,20,35,55,20,45,75,250
Tyrogue,,FIGHTING,,35,35,35,35,35,35,210
Hitmontop,,FIGHTING,,95,95,50,35,110,70,455
Smoochum,,ICE,PSYCHIC,30,15,45,85,65,65,305
Elekid,,ELECTRIC,,63,37,45,65,55,95,360
Magby,,FIRE,,75,37,45,70,55,83,365
Miltank,,NORMAL,,80,105,95,40,70,100,490
Blissey,,NORMAL,,10,10,255,75,135,55,540
Raikou,,ELECTRIC,,85,75,90,115,100,115,580
Entei,,FIRE,,115,85,115,90,75,100,580
Suicune,,WATER,,75,115,100,90,115,85,580
Larvitar,,ROCK,GROUND,64,50,50,45,50,41,300
Pupitar,,ROCK,GROUND,84,70,70,65,70,51,410
Tyranitar,,ROCK,DARK,134,110,100,95,100,61,600
Tyranitar,Mega Tyranitar,ROCK,DARK,164,150,100,95,120,71,700
Lugia,,PSYCHIC,FLYING,90,130,106,90,154,110,680
Ho-oh,,FIRE,FLYING,130,90,106,110,154,90,680
Celebi,,PSYCHIC,GRASS,100,100,100,100,100,100,600
Treecko,,GRASS,,45,35,40,65,55,70,310
Grovyle,,GRASS,,65,45,50,85,65,95,405
Sceptile,,GRASS,,85,65,70,105,85,120,530
Sceptile,Mega Sceptile,GRASS,DRAGON,110,75,70,145,85,145,630
Torchic,,FIRE,,60,40,45,70,50,45,310
Combusken,,FIRE,FIGHTING,85,60,60,85,60,55,405
Blaziken,,FIRE,FIGHTING,120,70,80,110,70,80,530
Blaziken,Mega Blaziken,FIRE,FIGHTING,160,80,80,130,80,100,630
Mudkip,,WATER,,70,50,50,50,50,40,310
Marshtomp,,WATER,GROUND,85,70,70,60,70,50,405
Swampert,,WATER,GROUND,110,90,100,85,90,60,535
Swampert,Mega Swampert,WATER,GROUND,150,110,100,95,110,70,635
Poochyena,,DARK,,55,35,35,30,30,35,220
Mightyena,,DARK,,90,70,70,60,60,70,420
Zigzagoon,,NORMAL,,30,41,38,30,41,60,240
Zigzagoon,Galarian Zigzagoon,DARK,NORMAL,30,41,38,30,41,60,240
Linoone,,NORMAL,,70,61,78,50,61,100,420
Linoone,Galarian Linoone,DARK,NORMAL,70,61,78,50,61,100,420
Wurmple,,BUG,,45,35,45,20,30,20,195
Silcoon,,BUG,,35,55,50,25,25,15,205
Beautifly,,BUG,FLYING,70,50,60,100,50,65,395
Cascoon,,BUG,,35,55,50,25,25,15,205
Dustox,,BUG,POISON,50,70,60,50,90,65,385
Lotad,,WATER,GRASS,30,30,40,40,50,30,220
Lombre,,WATER,GRASS,50,50,60,60,70,50,340
Ludicolo,,WATER,GRASS,70,70,80,90,100,70,480
Seedot,,GRASS,,40,50,40,30,30,30,220
Nuzleaf,,GRASS,DARK,70,40,70,60,40,60,340
Shiftry,,GRASS,DARK,100,60,90,90,60,80,480
Taillow,,NORMAL,FLYING,55,30,40,30,30,85,270
Swellow,,NORMAL,FLYING,85,60,60,75,50,125,455
Wingull,,WATER,FLYING,30,30,40,55,30,85,270
Pelipper,,WATER,FLYING,50,100,60,95,70,65,440
Ralts,,PSYCHIC,FAIRY,25,25,28,45,35,40,198
Kirlia,,PSYCHIC,FAIRY,35,35,38,65,55,50,278
Gardevoir,,PSYCHIC,FAIRY,65,65,68,125,115,80,518
Gardevoir,Mega Gardevoir,PSYCHIC,FAIRY,85,65,68,165,135,100,618
Surskit,,BUG,WATER,30,32,40,50,52,65,269
Masquerain,,BUG,FLYING,60,62,70,100,82,80,454
Shroomish,,GRASS,,40,60,60,40,60,35,295
Breloom,,GRASS,FIGHTING,130,80,60,60,60,70,460
Slakoth,,NORMAL,,60,60,60,35,35,30,280
Vigoroth,,NORMAL,,80,80,80,55,55,90,440
Slaking,,NORMAL,,160,100,150,95,65,100,670
Nincada,,BUG,GROUND,45,90,31,30,30,40,266
Ninjask,,BUG,FLYING,90,45,61,50,50,160,456
Shedinja,,BUG,GHOST,90,45,1,30,30,40,236
Whismur,,NORMAL,,51,23,64,51,23,28,240
Loudred,,NORMAL,,71,43,84,71,43,48,360
Exploud,,NORMAL,,91,63,104,91,73,68,490
Makuhita,,FIGHTING,,60,30,72,20,30,25,237
Hariyama,,FIGHTING,,120,60,144,40,60,50,474
Azurill,,NORMAL,FAIRY,20,40,50,20,40,20,190
Nosepass,,ROCK,,45,135,30,45,90,30,375
Skitty,,NORMAL,,45,45,50,35,35,50,260
Delcatty,,NORMAL,,65,65,70,55,55,90,400
Sableye,,DARK,GHOST,75,75,50,65,65,50,380
Sableye,Mega Sableye,DARK,GHOST,85,125,50,85,115,20,480
Mawile,,STEEL,FAIRY,85,85,50,55,55,50,380
Mawile,Mega Mawile,STEEL,FAIRY,105,125,50,55,95,50,480
Aron,,STEEL,ROCK,70,100,50,40,40,30,330
Lairon,,STEEL,ROCK,90,140,60,50,50,40,430
Aggron,,STEEL,ROCK,110,180,70,60,60,50,530
Aggron,Mega Aggron,STEEL,,140,230,70,60,80,50,630
Meditite,,FIGHTING,PSYCHIC,40,55,30,40,55,60,280
Medicham,,FIGHTING,PSYCHIC,60,75,60,60,75,80,410
Medicham,Mega Medicham,FIGHTING,PSYCHIC,100,85,60,80,85,100,510
Electrike,,ELECTRIC,,45,40,40,65,40,65,295
Manectric,,ELECTRIC,,75,60,70,105,60,105,475
Manectric,Mega Manectric,ELECTRIC,,75,80,70,135,80,135,575
Plusle,,ELECTRIC,,50,40,60,85,75,95,405
Minun,,ELECTRIC,,40,50,60,75,85,95,405
Volbeat,,BUG,,73,75,65,47,85,85,430
Illumise,,BUG,,47,75,65,73,85,85,430
Roselia,,GRASS,POISON,60,45,50,100,80,65,400
Gulpin,,POISON,,43,53,70,43,53,40,302
Swalot,,POISON,,73,83,100,73,83,55,467
Carvanha,,WATER,DARK,90,20,45,65,20,65,305
Sharpedo,,WATER,DARK,120,40,70,95,40,95,460
Sharpedo,Mega Sharpedo,WATER,DARK,140,70,70,110,65,105,560
Wailmer,,WATER,,70,35,130,70,35,60,400
Wailord,,WATER,,90,45,170,90,45,60,500
Numel,,FIRE,GROUND,60,40,60,65,45,35,305
Camerupt,,FIRE,GROUND,100,70,70,105,75,40,460
Camerupt,Mega Camerupt,FIRE,GROUND,120,100,70,145,105,20,560
Torkoal,,FIRE,,85,140,70,85,70,20,470
Spoink,,PSYCHIC,,25,35,60,70,80,60,330
Grumpig,,PSYCHIC,,45,65,80,90,110,80,470
Spinda,,NORMAL,,60,60,60,60,60,60,360
Trapinch,,GROUND,,100,45,45,45,45,10,290
Vibrava,,GROUND,DRAGON,70,50,50,50,50,70,340
Flygon,,GROUND,DRAGON,100,80,80,80,80,100,520
Cacnea,,GRASS,,85,40,50,85,40,35,335
Cacturne,,GRASS,DARK,115,60,70,115,60,55,475
Swablu,,NORMAL,FLYING,40,60,45,40,75,50,310
Altaria,,DRAGON,FLYING,70,90,75,70,105,80,490
Altaria,Mega Altaria,DRAGON,FAIRY,110,110,75,110,105,80,590
Zangoose,,NORMAL,,115,60,73,60,60,90,458
Seviper,,POISON,,100,60,73,100,60,65,458
Lunatone,,ROCK,PSYCHIC,55,65,90,95,85,70,460
Solrock,,ROCK,PSYCHIC,95,85,90,55,65,70,460
Barboach,,WATER,GROUND,48,43,50,46,41,60,288
Whiscash,,WATER,GROUND,78,73,110,76,71,60,468
Corphish,,WATER,,80,65,43,50,35,35,308
Crawdaunt,,WATER,DARK,120,85,63,90,55,55,468
Baltoy,,GROUND,PSYCHIC,40,55,40,40,70,55,300
Claydol,,GROUND,PSYCHIC,70,105,60,70,120,75,500
Lileep,,ROCK,GRASS,41,77,66,61,87,23,355
Cradily,,ROCK,GRASS,81,97,86,81,107,43,495
Anorith,,ROCK,BUG,95,50,45,40,50,75,355
Armaldo,,ROCK,BUG,125,100,75,70,80,45,495
Feebas,,WATER,,15,20,20,10,55,80,200
Milotic,,WATER,,60,79,95,100,125,81,540
Castform,,NORMAL,,70,70,70,70,70,70,420
Castform,Sunny Form,FIRE,,70,70,70,70,70,70,420
Castform,Rainy Form,WATER,,70,70,70,70,70,70,420
Castform,Snowy Form,ICE,,70,70,70,70,70,70,420
Kecleon,,NORMAL,,90,70,60,60,120,40,440
Shuppet,,GHOST,,75,35,44,63,33,45,295
Banette,,GHOST,,115,65,64,83,63,65,455
Banette,Mega Banette,GHOST,,165,75,64,93,83,75,555
Duskull,,GHOST,,40,90,20,30,90,25,295
Dusclops,,GHOST,,70,130,40,60,130,25,455
Tropius,,GRASS,FLYING,68,83,99,72,87,51,460
Chimecho,,PSYCHIC,,50,80,75,95,90,65,455
Absol,,DARK,,130,60,65,75,60,75,465
Absol,Mega Absol,DARK,,150,60,65,115,60,115,565
Wynaut,,PSYCHIC,,23,48,95,23,48,23,260
Snorunt,,ICE,,50,50,50,50,50,50,300
Glalie,,ICE,,80,80,80,80,80,80,480
Glalie,Mega Glalie,ICE,,120,80,80,120,80,100,580
Spheal,,ICE,WATER,40,50,70,55,50,25,290
Sealeo,,ICE,WATER,60,70,90,75,70,45,410
Walrein,,ICE,WATER,80,90,110,95,90,65,530
Clamperl,,WATER,,64,85,35,74,55,32,345
Huntail,,WATER,,104,105,55,94,75,52,485
Gorebyss,,WATER,,84,105,55,114,75,52,485
Relicanth,,WATER,ROCK,90,130,100,45,65,55,485
Luvdisc,,WATER,,30,55,43,40,65,97,330
Bagon,,DRAGON,,75,60,45,40,30,50,300
Shelgon,,DRAGON,,95,100,65,60,50,50,420
Salamence,,DRAGON,FLYING,135,80,95,110,80,100,600
Salamence,Mega Salamence,DRAGON,FLYING,145,130,95,120,90,120,700
Beldum,,STEEL,PSYCHIC,55,80,40,35,60,30,300
Metang,,STEEL,PSYCHIC,75,100,60,55,80,50,420
Metagross,,STEEL,PSYCHIC,135,130,80,95,90,70,600
Metagross,Mega Metagross,STEEL,PSYCHIC,145,150,80,105,110,110,700
Regirock,,ROCK,,100,200,80,50,100,50,580
Regice,,ICE,,50,100,80,100,200,50,580
Registeel,,STEEL,,75,150,80,75,150,50,580
Latias,,DRAGON,PSYCHIC,80,90,80,110,130,110,600
